Student Country,Question Level,Topic,Subtopic,Keywords,Student ID,Question ID,Type of Answer
0,1,13,22,317,647,77,0
3,1,13,22,317,41,77,1
3,1,13,22,317,340,77,1
1,1,13,22,317,641,77,0
3,1,13,22,317,669,77,1
3,1,13,22,317,697,77,1
3,1,13,22,317,720,77,1
3,1,13,22,317,675,77,1
3,1,13,22,317,663,77,0
3,1,13,22,317,28,77,0
2,1,13,22,317,953,77,0
1,1,13,22,317,636,77,1
1,1,13,22,317,639,77,0
0,1,13,22,317,684,78,0
0,1,13,22,317,683,78,0
3,1,13,22,317,725,78,0
3,1,13,22,317,57,78,0
3,1,13,22,317,690,78,0
3,1,13,22,317,675,78,0
3,1,13,22,317,679,78,0
3,1,13,22,317,663,78,0
1,1,13,22,317,638,78,0
2,1,13,22,317,953,78,0
1,1,13,22,317,637,78,0
0,1,13,22,317,658,79,0
0,1,13,22,317,647,79,0
0,1,13,22,317,657,79,0
0,1,13,22,317,674,79,0
3,1,13,22,317,41,79,1
3,1,13,22,317,41,79,1
0,1,13,22,317,651,79,0
3,1,13,22,317,1505,79,1
3,1,13,22,317,664,79,0
3,1,13,22,317,699,79,0
3,1,13,22,317,67,79,0
3,1,13,22,317,57,79,0
3,1,13,22,317,57,79,0
3,1,13,22,317,675,79,1
3,1,13,22,317,679,79,0
1,1,13,22,317,638,79,0
0,1,13,22,252,913,80,1
0,1,13,22,252,646,80,0
1,1,13,22,252,641,80,0
3,1,13,22,252,695,80,0
3,1,13,22,252,700,80,0
3,1,13,22,252,675,80,1
3,1,13,22,252,659,80,0
1,1,13,22,252,642,80,0
1,1,13,22,252,637,80,0
1,1,13,22,252,643,80,0
0,1,13,22,202,741,81,0
0,1,13,22,202,647,81,0
0,1,13,22,202,674,81,0
3,1,13,22,202,713,81,0
3,1,13,22,202,41,81,0
3,1,13,22,202,669,81,0
3,1,13,22,202,1505,81,1
3,1,13,22,202,668,81,1
3,1,13,22,202,695,81,1
3,1,13,22,202,699,81,0
3,1,13,22,202,661,81,1
3,1,13,22,202,667,81,1
1,1,13,22,202,638,81,1
2,1,3,4,182,1026,82,0
1,1,3,4,182,175,82,0
1,1,3,4,182,626,82,0
3,1,3,4,182,349,82,0
3,1,3,4,182,174,82,0
3,1,3,4,182,1564,82,0
3,1,3,4,182,407,82,0
3,1,3,4,182,411,82,0
7,1,3,4,182,155,82,0
2,1,11,6,73,240,83,1
1,1,11,6,73,626,83,1
3,1,11,6,73,750,83,0
3,1,11,6,73,1509,83,1
3,1,11,6,73,1557,83,1
3,1,11,6,73,1557,83,0
1,1,11,6,73,181,83,0
1,1,11,6,73,181,83,0
3,1,11,6,137,351,84,1
3,1,11,12,137,1564,84,1
1,1,11,6,137,181,84,0
3,1,11,12,137,1565,85,0
3,1,11,12,137,1481,85,0
3,0,11,6,137,1557,86,1
3,0,11,12,137,552,87,0
3,0,11,12,137,1557,87,1
3,0,11,12,137,1557,87,0
3,0,11,12,137,1557,87,0
1,1,7,14,136,854,88,1
1,1,7,14,136,854,88,1
3,1,7,14,136,26,88,1
3,1,7,14,136,511,88,1
3,1,7,14,136,973,88,1
3,1,7,14,136,411,88,0
1,1,7,14,136,852,88,0
1,1,7,14,136,852,88,1
1,1,7,14,136,852,88,0
3,1,7,14,311,988,89,0
3,1,7,14,311,988,89,1
1,1,7,14,311,854,89,0
1,1,7,14,311,860,89,1
3,1,7,14,311,510,89,0
3,1,7,14,311,979,89,0
3,1,7,14,311,509,89,1
3,1,7,14,311,511,89,0
3,1,7,14,311,406,89,1
3,1,7,14,311,406,89,0
3,1,7,14,311,411,89,1
1,1,7,14,311,852,89,1
1,1,7,14,311,852,89,1
1,1,7,14,311,600,89,0
1,1,7,14,311,853,89,1
1,1,7,14,311,853,89,1
1,1,7,14,311,1248,90,1
1,1,7,14,311,855,90,0
1,1,7,14,311,855,90,1
3,1,7,14,311,510,90,1
3,1,7,14,311,509,90,0
3,1,7,14,311,525,90,1
3,1,7,14,311,986,90,1
3,1,7,14,311,406,90,1
3,1,7,14,311,414,90,1
1,1,7,14,311,852,90,0
3,1,7,14,311,28,90,1
1,1,7,14,311,853,90,1
1,1,7,14,311,853,90,1
3,1,7,14,311,72,90,0
3,1,7,14,50,988,91,1
3,1,7,14,50,988,91,1
1,1,7,14,50,1248,91,1
1,1,7,14,50,855,91,0
1,1,7,14,50,855,91,0
3,1,7,14,50,511,91,1
3,1,7,14,50,511,91,0
3,1,7,14,50,406,91,0
3,1,7,14,50,414,91,1
3,1,7,14,50,414,91,1
1,1,7,14,50,852,91,1
1,1,7,14,50,852,91,1
1,1,7,14,50,598,91,0
1,1,7,14,51,854,92,1
3,1,7,14,51,510,92,0
3,1,7,14,51,524,92,0
3,1,7,14,51,26,92,1
3,1,7,14,51,511,92,1
3,1,7,14,51,509,92,0
3,1,7,14,51,406,92,1
3,1,7,14,51,414,92,0
3,1,7,14,51,411,92,1
1,1,7,14,51,853,92,1
5,1,7,14,51,625,92,1
2,1,3,4,260,239,93,0
2,1,3,4,260,1049,93,0
3,1,3,4,260,483,93,1
3,1,3,4,260,352,93,0
3,1,3,4,260,64,93,1
1,1,3,4,260,176,93,1
3,1,3,4,351,165,94,1
1,1,3,4,351,626,94,0
3,1,3,4,351,349,94,1
3,1,3,4,351,349,94,0
3,1,3,4,351,918,94,1
3,1,3,4,351,64,94,1
3,1,3,4,351,411,94,0
1,1,3,4,351,178,94,0
1,1,3,4,351,634,94,0
2,1,3,4,352,239,95,1
1,1,3,4,352,175,95,0
4,1,3,4,352,985,95,1
3,1,3,4,352,349,95,0
3,1,3,4,352,918,95,0
7,1,3,4,351,155,96,0
2,1,3,4,351,1049,97,1
1,1,3,4,351,175,97,0
3,1,3,4,351,71,97,1
3,1,3,4,351,1564,97,0
